ano,semana,regiao,hidraulica,termica,eolica,solar,total
2020,1,sul,"4662,33",1870,"595,02",0,"7127,35"
2020,1,sudeste e centro-oeste,"28134,31","6882,66",0,"23,67","35040,64"
2020,1,norte,"6699,23","2855,87","74,27",0,"9629,38"
2020,1,nordeste,"2902,47","2241,63","1910,45","38,94","7093,5"
2020,2,sul,"5704,31","1532,71","499,14",0,"7736,17"
2020,2,sudeste e centro-oeste,"27591,48","5053,82",0,"31,95","32677,24"
2020,2,norte,"8687,49","2845,17","147,69",0,"11680,35"
2020,2,nordeste,"2752,7","2222,96","3934,13","59,97","8969,77"
2020,3,sul,"4083,58","1826,07","519,13",0,"6428,78"
2020,3,sudeste e centro-oeste,"25160,24","5334,8",0,"22,17","30517,21"
2020,3,norte,"8973,54","2838,68","132,08",0,"11944,29"
2020,3,nordeste,"2925,72","2410,15","3061,32","37,63","8434,82"
2020,4,sul,"4201,27","1978,18","215,57",0,"6395,02"
2020,4,sudeste e centro-oeste,"26997,08","5963,31",0,"24,93","32985,32"
2020,4,norte,"9685,8","2885,01","147,41",0,"12718,22"
2020,4,nordeste,"3164,09","2446,96","3229,08","48,33","8888,46"
2020,5,sul,"3846,21","1174,98","924,89",0,"5946,07"
2020,5,sudeste e centro-oeste,"29549,04","4323,43",0,"22,36","33894,82"
2020,5,norte,"11193,64","2593,74","91,04",0,"13878,42"
2020,5,nordeste,"3074,75","2118,44","2030,71","41,95","7265,86"
2020,6,sul,"3238,64","1003,02","817,4",0,"5059,06"
2020,6,sudeste e centro-oeste,"27310,45","3824,18",0,"24,49","31159,12"
2020,6,norte,"11719,8","2645,99","146,74",0,"14512,52"
2020,6,nordeste,"3097,83","1943,72","3559,44","55,96","8656,96"
2020,7,sul,"4037,14","1036,82","590,68",0,"5664,65"
2020,7,sudeste e centro-oeste,"29126,85","3978,19",0,"32,3","33137,33"
2020,7,norte,"14041,02","2148,12","64,34",0,"16253,47"
2020,7,nordeste,"2742,36","1379,03","3806,2","55,2","7982,79"
2020,8,sul,"2467,41","1140,03","549,26",0,"4156,7"
2020,8,sudeste e centro-oeste,"26243,71","4936,44",0,"23,27","31203,42"
2020,8,norte,"13251,05","1230,82","89,4",0,"14571,27"
2020,8,nordeste,"2650,02","1405,86","2750,07","55,69","6861,64"
2020,9,sul,"3069,5","935,05","502,47",0,"4507,02"
2020,9,sudeste e centro-oeste,"27969,14","3210,86",0,"25,4","31205,41"
2020,9,norte,"15926,87","1306,76","34,66",0,"17268,29"
2020,9,nordeste,"3202,83","1223,72","1128,6","45,47","5600,62"
2020,10,sul,"2945,84",1484,"637,99",0,"5067,82"
2020,10,sudeste e centro-oeste,"28711,01","3946,81",0,"31,75","32689,57"
2020,10,norte,"16395,6","829,19","24,92",0,"17249,71"
2020,10,nordeste,"3071,15","1480,41","1788,89","43,45","6383,91"
